date,country,imports
2019-07-01,China,780.579653
2019-08-01,China,774.989905
2019-09-01,China,733.805811
2019-10-01,China,723.124754
2019-11-01,China,599.946578
2019-12-01,China,634.86655
2020-01-01,China,729.71845
2020-02-01,China,614.624862
2020-03-01,China,477.646418
2020-04-01,China,591.500249
2020-05-01,China,516.801473
2020-06-01,China,478.331724
2020-07-01,China,597.035437
2020-08-01,China,643.172153
2020-09-01,China,658.508594
2020-10-01,China,745.46415
2020-11-01,China,708.389387
2020-12-01,China,739.569252
2021-01-01,China,737.585438
2021-02-01,China,717.080584
2021-03-01,China,874.030253
2021-04-01,China,747.86844
2021-05-01,China,747.34
2021-06-01,China,794.727136
2021-07-01,China,769.282582
2021-08-01,China,833.725664
2021-09-01,China,781.10421
2021-10-01,China,780.226957
2021-11-01,China,735.807082
2021-12-01,China,729.361465
2022-01-01,China,842.794398
2022-02-01,China,801.278418
2022-03-01,China,886.923089
2022-04-01,China,914.714672
2022-05-01,China,883.113138
2022-06-01,China,883.407014
2022-07-01,China,895.747423
2022-08-01,China,990.558269
2022-09-01,China,902.81886
2022-10-01,China,884.380428
2022-11-01,China,796.30808
2022-12-01,China,732.212754
2023-01-01,China,799.57989
2023-02-01,China,691.847071
2023-03-01,China,684.93425
2023-04-01,China,798.164487
2023-05-01,China,816.355108
2023-06-01,China,782.251529
2023-07-01,China,761.402235
2023-08-01,China,857.880787
2023-09-01,China,811.46654
2023-10-01,China,831.435767
2023-11-01,China,702.324138
2023-12-01,China,709.969762
2024-01-01,China,819.298024
2024-02-01,China,803.242442
2024-03-01,China,780.970166
2024-04-01,China,802.782713
2024-05-01,China,782.162644
2024-06-01,China,745.130663
2024-07-01,China,828.751534
2024-08-01,China,808.4732
2024-09-01,China,786.370208
2024-10-01,China,773.913807
2024-11-01,China,694.239287
2024-12-01,China,748.505688
2025-01-01,China,865.147761
2025-02-01,China,742.256271
2025-03-01,China,743.036522
2025-04-01,China,743.486748
2025-05-01,China,691.489432
2025-06-01,China,598.311491
2025-07-01,China,759.885304
2025-08-01,China,693.160062
2015-01-01,Mexico,1492.415401
2015-02-01,Mexico,1626.601667
2015-03-01,Mexico,1869.031169
2015-04-01,Mexico,1790.337947
2015-05-01,Mexico,1785.831585
2015-06-01,Mexico,2021.137099
2015-07-01,Mexico,1739.314621
2015-08-01,Mexico,1850.312543
2015-09-01,Mexico,1838.710586
2015-10-01,Mexico,2018.642719
2015-11-01,Mexico,1803.060616
2015-12-01,Mexico,1605.479705
2016-01-01,Mexico,1736.147305
2016-02-01,Mexico,1853.809382
2016-03-01,Mexico,1914.297805
2016-04-01,Mexico,1967.967432
2016-05-01,Mexico,1899.673522
2016-06-01,Mexico,1883.917947
2016-07-01,Mexico,1589.740707
2016-08-01,Mexico,2034.028792
2016-09-01,Mexico,1929.520471
2016-10-01,Mexico,2006.603636
2016-11-01,Mexico,1913.203458
2016-12-01,Mexico,1669.242115
2017-01-01,Mexico,1791.90351
2017-02-01,Mexico,1821.456938
2017-03-01,Mexico,2072.300898
2017-04-01,Mexico,1899.18018
2017-05-01,Mexico,1978.993618
2017-06-01,Mexico,1902.028697
2017-07-01,Mexico,1655.241948
2017-08-01,Mexico,1983.757535
2017-09-01,Mexico,1876.863075
2017-10-01,Mexico,2073.295546
2017-11-01,Mexico,1916.419444
2017-12-01,Mexico,1627.055096
2018-01-01,Mexico,1907.348007
2018-02-01,Mexico,1943.60135
2018-03-01,Mexico,2154.690533
2018-04-01,Mexico,2097.691932
2018-05-01,Mexico,2014.333936
2018-06-01,Mexico,1932.445486
2018-07-01,Mexico,1817.69964
2018-08-01,Mexico,2180.351413
2018-09-01,Mexico,2086.204454
2018-10-01,Mexico,2363.671008
2018-11-01,Mexico,2133.045904
2018-12-01,Mexico,1750.423582
2019-01-01,Mexico,1987.43237
2019-02-01,Mexico,2014.734375
2019-03-01,Mexico,2209.932738
2019-04-01,Mexico,2089.084886
2019-05-01,Mexico,2227.651601
2019-06-01,Mexico,2049.121223
2019-07-01,Mexico,2099.829698
2019-08-01,Mexico,2391.422243
2019-09-01,Mexico,2158.297634
2019-10-01,Mexico,2071.20983
2019-11-01,Mexico,2184.108535
2019-12-01,Mexico,1779.966424
2020-01-01,Mexico,2141.442022
2020-02-01,Mexico,2251.976133
2020-03-01,Mexico,1910.579863
2020-04-01,Mexico,227.04217
2020-05-01,Mexico,392.000333
2020-06-01,Mexico,1653.842261
2020-07-01,Mexico,2145.486357
2020-08-01,Mexico,2287.913927
2020-09-01,Mexico,2305.141465
2020-10-01,Mexico,2499.790191
2020-11-01,Mexico,2298.097372
2020-12-01,Mexico,1987.271991
2021-01-01,Mexico,2103.559755
2021-02-01,Mexico,2039.990669
2021-03-01,Mexico,2508.950101
2021-04-01,Mexico,2123.793888
2021-05-01,Mexico,2071.779851
2021-06-01,Mexico,2079.329117
2021-07-01,Mexico,2066.041757
2021-08-01,Mexico,2250.373163
2021-09-01,Mexico,2035.662972
2021-10-01,Mexico,2235.775186
2021-11-01,Mexico,2183.629001
2021-12-01,Mexico,2004.811976
2022-01-01,Mexico,2162.60164
2022-02-01,Mexico,2289.447509
2022-03-01,Mexico,2780.432121
2022-04-01,Mexico,2399.442917
2022-05-01,Mexico,2675.401656
2022-06-01,Mexico,2511.833218
2022-07-01,Mexico,2439.279334
2022-08-01,Mexico,2864.508066
2022-09-01,Mexico,2745.826472
2022-10-01,Mexico,2823.261901
2022-11-01,Mexico,2558.47409
2022-12-01,Mexico,2384.791489
2023-01-01,Mexico,2669.734697
2023-02-01,Mexico,2629.938588
2023-03-01,Mexico,3066.666479
2023-04-01,Mexico,2806.929653
2023-05-01,Mexico,3069.472504
2023-06-01,Mexico,2867.835726
2023-07-01,Mexico,2839.244807
2023-08-01,Mexico,3239.223108
2023-09-01,Mexico,2980.802419
2023-10-01,Mexico,2974.040025
2023-11-01,Mexico,2763.437762
2023-12-01,Mexico,2545.413929
2024-01-01,Mexico,2788.512044
2024-02-01,Mexico,3047.084113
2024-03-01,Mexico,3210.782484
2024-04-01,Mexico,3297.161235
2024-05-01,Mexico,3203.814865
2024-06-01,Mexico,2889.065196
2024-07-01,Mexico,2924.581558
2024-08-01,Mexico,3267.039398
2024-09-01,Mexico,3048.782972
2024-10-01,Mexico,3236.079727
