date,country,imports,year,month,quarter,treatment,control_group,post_tariff,post_2018,post_2019,post_2025,tariff_period,log_imports,did_term
2015-05-01,Mexico,24482.502226,2015,5,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.105713946517033,0
2015-06-01,Mexico,26919.217962,2015,6,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.200595732890926,0
2015-07-01,Mexico,24804.806979,2015,7,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.118792743168893,0
2015-08-01,Mexico,24693.76639,2015,8,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.114306117890182,0
2015-09-01,Mexico,25331.316173,2015,9,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.13979670268014,0
2015-10-01,Mexico,27672.193708,2015,10,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.228183350737055,0
2015-11-01,Mexico,24049.508619,2015,11,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.087869843682768,0
2015-12-01,Mexico,23155.949322,2015,12,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.050007016649255,0
2016-01-01,Mexico,22337.723342,2016,1,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.014032157940362,0
2016-02-01,Mexico,23121.746528,2016,2,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.048528861801683,0
2016-03-01,Mexico,24692.111632,2016,3,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.11423910448202,0
2016-04-01,Mexico,24985.773651,2016,4,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.126061887917682,0
2016-05-01,Mexico,24761.062479,2016,5,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.117027636984501,0
2016-06-01,Mexico,24809.622976,2016,6,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.118986880117337,0
2016-07-01,Mexico,22944.587756,2016,7,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.040837360051713,0
2016-08-01,Mexico,25544.937654,2016,8,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.148194441127744,0
2016-09-01,Mexico,25122.16115,2016,9,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.131505649922907,0
2016-10-01,Mexico,26358.862675,2016,10,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.179559841820687,0
2016-11-01,Mexico,25358.0766,2016,11,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.140852561826291,0
2016-12-01,Mexico,23463.940217,2016,12,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.063220062793489,0
2017-01-01,Mexico,23458.559937,2017,1,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.062990736563815,0
2017-02-01,Mexico,23806.874965,2017,2,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.077729682022001,0
2017-03-01,Mexico,27920.627811,2017,3,1,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.237121042690836,0
2017-04-01,Mexico,25017.467801,2017,4,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.127329571904724,0
2017-05-01,Mexico,27032.582237,2017,5,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.204798166968029,0
2017-06-01,Mexico,27153.754084,2017,6,2,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.209270587773927,0
2017-07-01,Mexico,24514.74541,2017,7,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.107030068961043,0
2017-08-01,Mexico,26924.36987,2017,8,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.200787098593814,0
2017-09-01,Mexico,25731.991377,2017,9,3,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.155490297422798,0
2017-10-01,Mexico,28572.107216,2017,10,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.260186248752772,0
2017-11-01,Mexico,27481.066952,2017,11,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.221252572074551,0
2017-12-01,Mexico,25052.592836,2017,12,4,0,1,0,0,0,0,Pre-Tariff (2015-2017),10.128732607583736,0
2018-01-01,Mexico,25788.215741,2018,1,1,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.157672912340917,0
2018-02-01,Mexico,25777.142669,2018,2,1,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.157243435168194,0
2018-03-01,Mexico,29754.137946,2018,3,1,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.30072349192342,0
2018-04-01,Mexico,27895.040348,2018,4,2,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.236204186702674,0
2018-05-01,Mexico,29209.179529,2018,5,2,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.282238306284793,0
2018-06-01,Mexico,29349.892896,2018,6,2,0,1,0,1,0,0,Targeted Tariffs (2018-2024),10.287044176050266,0
2018-07-01,Mexico,27999.48831,2018,7,3,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.2399415143475,0
2018-08-01,Mexico,30885.907159,2018,8,3,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.338055279853414,0
2018-09-01,Mexico,28984.790343,2018,9,3,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.27452650045459,0
2018-10-01,Mexico,31636.756798,2018,10,4,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.362074913404008,0
2018-11-01,Mexico,29464.671352,2018,11,4,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.290947243366267,0
2018-12-01,Mexico,26935.317419,2018,12,4,0,1,1,1,0,0,Targeted Tariffs (2018-2024),10.20119361967486,0
2019-01-01,Mexico,27557.995759,2019,1,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.22404799966023,0
