date,country,imports,industry
2017-07-01,Mexico,370.264732,Appliances
2017-08-01,Mexico,376.667794,Appliances
2017-09-01,Mexico,378.18873,Appliances
2017-10-01,Mexico,408.394415,Appliances
2017-11-01,Mexico,388.245389,Appliances
2017-12-01,Mexico,306.5785,Appliances
2018-01-01,Mexico,271.951819,Appliances
2018-02-01,Mexico,271.49527,Appliances
2018-03-01,Mexico,344.991064,Appliances
2018-04-01,Mexico,373.335326,Appliances
2018-05-01,Mexico,421.905929,Appliances
2018-06-01,Mexico,407.172298,Appliances
2018-07-01,Mexico,391.651645,Appliances
2018-08-01,Mexico,388.162351,Appliances
2018-09-01,Mexico,390.944547,Appliances
2018-10-01,Mexico,452.133387,Appliances
2018-11-01,Mexico,403.116792,Appliances
2018-12-01,Mexico,332.202278,Appliances
2019-01-01,Mexico,294.231257,Appliances
2019-02-01,Mexico,332.357756,Appliances
2019-03-01,Mexico,363.668967,Appliances
2019-04-01,Mexico,361.753117,Appliances
2019-05-01,Mexico,442.024435,Appliances
2019-06-01,Mexico,413.920788,Appliances
2019-07-01,Mexico,402.88599,Appliances
2019-08-01,Mexico,402.466027,Appliances
2019-09-01,Mexico,390.49372,Appliances
2019-10-01,Mexico,360.537127,Appliances
2019-11-01,Mexico,337.977313,Appliances
2019-12-01,Mexico,297.235914,Appliances
2020-01-01,Mexico,244.829916,Appliances
2020-02-01,Mexico,321.534911,Appliances
2020-03-01,Mexico,361.403395,Appliances
2020-04-01,Mexico,326.882435,Appliances
2020-05-01,Mexico,269.480491,Appliances
2020-06-01,Mexico,378.454229,Appliances
2020-07-01,Mexico,425.792287,Appliances
2020-08-01,Mexico,417.168317,Appliances
2020-09-01,Mexico,398.993193,Appliances
2020-10-01,Mexico,441.923865,Appliances
2020-11-01,Mexico,395.928361,Appliances
2020-12-01,Mexico,360.675242,Appliances
2021-01-01,Mexico,375.951159,Appliances
2021-02-01,Mexico,351.514712,Appliances
2021-03-01,Mexico,432.02921,Appliances
2021-04-01,Mexico,382.351192,Appliances
2021-05-01,Mexico,383.300615,Appliances
2021-06-01,Mexico,434.281971,Appliances
2021-07-01,Mexico,474.136167,Appliances
2021-08-01,Mexico,450.843975,Appliances
2021-09-01,Mexico,471.656342,Appliances
2021-10-01,Mexico,483.488272,Appliances
2021-11-01,Mexico,447.576,Appliances
2021-12-01,Mexico,411.482241,Appliances
2022-01-01,Mexico,445.911816,Appliances
2022-02-01,Mexico,433.795187,Appliances
2022-03-01,Mexico,527.769664,Appliances
2022-04-01,Mexico,507.300255,Appliances
2022-05-01,Mexico,526.868594,Appliances
2022-06-01,Mexico,588.621046,Appliances
2022-07-01,Mexico,557.027134,Appliances
2022-08-01,Mexico,525.6902,Appliances
2022-09-01,Mexico,516.238926,Appliances
2022-10-01,Mexico,521.884073,Appliances
2022-11-01,Mexico,467.624447,Appliances
2022-12-01,Mexico,429.829523,Appliances
2023-01-01,Mexico,431.938944,Appliances
2023-02-01,Mexico,492.195867,Appliances
2023-03-01,Mexico,574.228726,Appliances
2023-04-01,Mexico,485.616521,Appliances
2023-05-01,Mexico,529.14101,Appliances
2023-06-01,Mexico,541.850709,Appliances
2023-07-01,Mexico,544.34574,Appliances
2023-08-01,Mexico,582.782971,Appliances
2023-09-01,Mexico,510.346363,Appliances
2023-10-01,Mexico,572.746431,Appliances
2023-11-01,Mexico,526.224357,Appliances
2023-12-01,Mexico,424.726499,Appliances
2024-01-01,Mexico,422.221449,Appliances
2024-02-01,Mexico,468.701662,Appliances
2024-03-01,Mexico,498.095285,Appliances
2024-04-01,Mexico,503.546128,Appliances
2024-05-01,Mexico,509.936949,Appliances
2024-06-01,Mexico,529.89709,Appliances
2024-07-01,Mexico,568.20871,Appliances
2024-08-01,Mexico,543.691512,Appliances
2024-09-01,Mexico,486.608023,Appliances
2024-10-01,Mexico,504.697687,Appliances
2024-11-01,Mexico,512.721329,Appliances
2024-12-01,Mexico,475.851256,Appliances
2025-01-01,Mexico,473.935684,Appliances
2025-02-01,Mexico,532.618332,Appliances
2025-03-01,Mexico,599.589636,Appliances
2025-04-01,Mexico,551.532981,Appliances
2025-05-01,Mexico,550.153051,Appliances
2025-06-01,Mexico,604.033839,Appliances
2025-07-01,Mexico,606.083738,Appliances
2025-08-01,Mexico,549.221962,Appliances
2015-01-01,USMCA - U.S.-Mexico-Canada Agreement,288.161557,Appliances
2015-02-01,USMCA - U.S.-Mexico-Canada Agreement,274.943964,Appliances
2015-03-01,USMCA - U.S.-Mexico-Canada Agreement,335.494124,Appliances
2015-04-01,USMCA - U.S.-Mexico-Canada Agreement,360.669235,Appliances
2015-05-01,USMCA - U.S.-Mexico-Canada Agreement,401.804701,Appliances
2015-06-01,USMCA - U.S.-Mexico-Canada Agreement,426.46492,Appliances
2015-07-01,USMCA - U.S.-Mexico-Canada Agreement,443.958496,Appliances
2015-08-01,USMCA - U.S.-Mexico-Canada Agreement,406.854754,Appliances
2015-09-01,USMCA - U.S.-Mexico-Canada Agreement,391.664634,Appliances
2015-10-01,USMCA - U.S.-Mexico-Canada Agreement,426.918508,Appliances
2015-11-01,USMCA - U.S.-Mexico-Canada Agreement,351.71702,Appliances
2015-12-01,USMCA - U.S.-Mexico-Canada Agreement,276.643611,Appliances
2016-01-01,USMCA - U.S.-Mexico-Canada Agreement,275.776271,Appliances
2016-02-01,USMCA - U.S.-Mexico-Canada Agreement,325.050531,Appliances
2016-03-01,USMCA - U.S.-Mexico-Canada Agreement,369.633335,Appliances
2016-04-01,USMCA - U.S.-Mexico-Canada Agreement,370.56545,Appliances
2016-05-01,USMCA - U.S.-Mexico-Canada Agreement,409.082577,Appliances
2016-06-01,USMCA - U.S.-Mexico-Canada Agreement,421.635469,Appliances
2016-07-01,USMCA - U.S.-Mexico-Canada Agreement,388.954028,Appliances
2016-08-01,USMCA - U.S.-Mexico-Canada Agreement,409.332329,Appliances
2016-09-01,USMCA - U.S.-Mexico-Canada Agreement,403.925712,Appliances
2016-10-01,USMCA - U.S.-Mexico-Canada Agreement,388.696376,Appliances
2016-11-01,USMCA - U.S.-Mexico-Canada Agreement,387.569875,Appliances
2016-12-01,USMCA - U.S.-Mexico-Canada Agreement,303.888685,Appliances
2017-01-01,USMCA - U.S.-Mexico-Canada Agreement,284.371089,Appliances
2017-02-01,USMCA - U.S.-Mexico-Canada Agreement,305.254938,Appliances
2017-03-01,USMCA - U.S.-Mexico-Canada Agreement,351.009019,Appliances
2017-04-01,USMCA - U.S.-Mexico-Canada Agreement,385.718784,Appliances
2017-05-01,USMCA - U.S.-Mexico-Canada Agreement,414.560561,Appliances
2017-06-01,USMCA - U.S.-Mexico-Canada Agreement,430.332518,Appliances
2017-07-01,USMCA - U.S.-Mexico-Canada Agreement,397.316374,Appliances
2017-08-01,USMCA - U.S.-Mexico-Canada Agreement,405.944334,Appliances
2017-09-01,USMCA - U.S.-Mexico-Canada Agreement,402.501196,Appliances
2017-10-01,USMCA - U.S.-Mexico-Canada Agreement,432.843701,Appliances
2017-11-01,USMCA - U.S.-Mexico-Canada Agreement,410.27065700000003,Appliances
2017-12-01,USMCA - U.S.-Mexico-Canada Agreement,325.057572,Appliances
2018-01-01,USMCA - U.S.-Mexico-Canada Agreement,290.94187,Appliances
2018-02-01,USMCA - U.S.-Mexico-Canada Agreement,294.912006,Appliances
2018-03-01,USMCA - U.S.-Mexico-Canada Agreement,378.852618,Appliances
2018-04-01,USMCA - U.S.-Mexico-Canada Agreement,397.128093,Appliances
2018-05-01,USMCA - U.S.-Mexico-Canada Agreement,453.698258,Appliances
2018-06-01,USMCA - U.S.-Mexico-Canada Agreement,433.85297,Appliances
2018-07-01,USMCA - U.S.-Mexico-Canada Agreement,419.218731,Appliances
2018-08-01,USMCA - U.S.-Mexico-Canada Agreement,419.262964,Appliances
2018-09-01,USMCA - U.S.-Mexico-Canada Agreement,417.003523,Appliances
2018-10-01,USMCA - U.S.-Mexico-Canada Agreement,482.196975,Appliances
2018-11-01,USMCA - U.S.-Mexico-Canada Agreement,422.114048,Appliances
2018-12-01,USMCA - U.S.-Mexico-Canada Agreement,355.463038,Appliances
2019-01-01,USMCA - U.S.-Mexico-Canada Agreement,319.685511,Appliances
2019-02-01,USMCA - U.S.-Mexico-Canada Agreement,356.486674,Appliances
2019-03-01,USMCA - U.S.-Mexico-Canada Agreement,396.949186,Appliances
2019-04-01,USMCA - U.S.-Mexico-Canada Agreement,383.669246,Appliances
2019-05-01,USMCA - U.S.-Mexico-Canada Agreement,475.317374,Appliances
2019-06-01,USMCA - U.S.-Mexico-Canada Agreement,446.939393,Appliances
2019-07-01,USMCA - U.S.-Mexico-Canada Agreement,429.572385,Appliances
2019-08-01,USMCA - U.S.-Mexico-Canada Agreement,428.630946,Appliances
2019-09-01,USMCA - U.S.-Mexico-Canada Agreement,416.675494,Appliances
2019-10-01,USMCA - U.S.-Mexico-Canada Agreement,385.028907,Appliances
2019-11-01,USMCA - U.S.-Mexico-Canada Agreement,358.37014,Appliances
2019-12-01,USMCA - U.S.-Mexico-Canada Agreement,316.243836,Appliances
2020-01-01,USMCA - U.S.-Mexico-Canada Agreement,272.05195,Appliances
2020-02-01,USMCA - U.S.-Mexico-Canada Agreement,351.103153,Appliances
2020-03-01,USMCA - U.S.-Mexico-Canada Agreement,394.976579,Appliances
2020-04-01,USMCA - U.S.-Mexico-Canada Agreement,346.591938,Appliances
2020-05-01,USMCA - U.S.-Mexico-Canada Agreement,290.53675,Appliances
2020-06-01,USMCA - U.S.-Mexico-Canada Agreement,411.218898,Appliances
2020-07-01,USMCA - U.S.-Mexico-Canada Agreement,452.136645,Appliances
2020-08-01,USMCA - U.S.-Mexico-Canada Agreement,441.784524,Appliances
2020-09-01,USMCA - U.S.-Mexico-Canada Agreement,421.889285,Appliances
2020-10-01,USMCA - U.S.-Mexico-Canada Agreement,464.965702,Appliances
2020-11-01,USMCA - U.S.-Mexico-Canada Agreement,421.649386,Appliances
2020-12-01,USMCA - U.S.-Mexico-Canada Agreement,377.675552,Appliances
2021-01-01,USMCA - U.S.-Mexico-Canada Agreement,397.551706,Appliances
2021-02-01,USMCA - U.S.-Mexico-Canada Agreement,375.635045,Appliances
2021-03-01,USMCA - U.S.-Mexico-Canada Agreement,464.228678,Appliances
2021-04-01,USMCA - U.S.-Mexico-Canada Agreement,410.417612,Appliances
2021-05-01,USMCA - U.S.-Mexico-Canada Agreement,411.902762,Appliances
2021-06-01,USMCA - U.S.-Mexico-Canada Agreement,458.865174,Appliances
2021-07-01,USMCA - U.S.-Mexico-Canada Agreement,509.897622,Appliances
2021-08-01,USMCA - U.S.-Mexico-Canada Agreement,480.407596,Appliances
2021-09-01,USMCA - U.S.-Mexico-Canada Agreement,505.700392,Appliances
2021-10-01,USMCA - U.S.-Mexico-Canada Agreement,513.818108,Appliances
2021-11-01,USMCA - U.S.-Mexico-Canada Agreement,479.640978,Appliances
2021-12-01,USMCA - U.S.-Mexico-Canada Agreement,441.126598,Appliances
2022-01-01,USMCA - U.S.-Mexico-Canada Agreement,478.079955,Appliances
2022-02-01,USMCA - U.S.-Mexico-Canada Agreement,469.796211,Appliances
2022-03-01,USMCA - U.S.-Mexico-Canada Agreement,567.221272,Appliances
2022-04-01,USMCA - U.S.-Mexico-Canada Agreement,552.646547,Appliances
2022-05-01,USMCA - U.S.-Mexico-Canada Agreement,569.180534,Appliances
2022-06-01,USMCA - U.S.-Mexico-Canada Agreement,634.689112,Appliances
2022-07-01,USMCA - U.S.-Mexico-Canada Agreement,590.647215,Appliances
2022-08-01,USMCA - U.S.-Mexico-Canada Agreement,562.489032,Appliances
2022-09-01,USMCA - U.S.-Mexico-Canada Agreement,555.371538,Appliances
2022-10-01,USMCA - U.S.-Mexico-Canada Agreement,577.941691,Appliances
2022-11-01,USMCA - U.S.-Mexico-Canada Agreement,512.875129,Appliances
2022-12-01,USMCA - U.S.-Mexico-Canada Agreement,471.481961,Appliances
2023-01-01,USMCA - U.S.-Mexico-Canada Agreement,475.431676,Appliances
2023-02-01,USMCA - U.S.-Mexico-Canada Agreement,543.045822,Appliances
2023-03-01,USMCA - U.S.-Mexico-Canada Agreement,622.012957,Appliances
2023-04-01,USMCA - U.S.-Mexico-Canada Agreement,528.765455,Appliances
2023-05-01,USMCA - U.S.-Mexico-Canada Agreement,579.810866,Appliances
2023-06-01,USMCA - U.S.-Mexico-Canada Agreement,591.447537,Appliances
2023-07-01,USMCA - U.S.-Mexico-Canada Agreement,585.555514,Appliances
2023-08-01,USMCA - U.S.-Mexico-Canada Agreement,617.698137,Appliances
2023-09-01,USMCA - U.S.-Mexico-Canada Agreement,553.968529,Appliances
2023-10-01,USMCA - U.S.-Mexico-Canada Agreement,617.947197,Appliances
2023-11-01,USMCA - U.S.-Mexico-Canada Agreement,559.951091,Appliances
2023-12-01,USMCA - U.S.-Mexico-Canada Agreement,458.964907,Appliances
2024-01-01,USMCA - U.S.-Mexico-Canada Agreement,461.469735,Appliances
2024-02-01,USMCA - U.S.-Mexico-Canada Agreement,507.09585,Appliances
2024-03-01,USMCA - U.S.-Mexico-Canada Agreement,539.858525,Appliances
2024-04-01,USMCA - U.S.-Mexico-Canada Agreement,536.846315,Appliances
2024-05-01,USMCA - U.S.-Mexico-Canada Agreement,556.254589,Appliances
2024-06-01,USMCA - U.S.-Mexico-Canada Agreement,578.398137,Appliances
2024-07-01,USMCA - U.S.-Mexico-Canada Agreement,619.33117,Appliances
2024-08-01,USMCA - U.S.-Mexico-Canada Agreement,585.850004,Appliances
2024-09-01,USMCA - U.S.-Mexico-Canada Agreement,528.010225,Appliances
2024-10-01,USMCA - U.S.-Mexico-Canada Agreement,560.886027,Appliances
2024-11-01,USMCA - U.S.-Mexico-Canada Agreement,562.490979,Appliances
2024-12-01,USMCA - U.S.-Mexico-Canada Agreement,521.539862,Appliances
2025-01-01,USMCA - U.S.-Mexico-Canada Agreement,509.64417,Appliances
2025-02-01,USMCA - U.S.-Mexico-Canada Agreement,579.324083,Appliances
2025-03-01,USMCA - U.S.-Mexico-Canada Agreement,667.774235,Appliances
2025-04-01,USMCA - U.S.-Mexico-Canada Agreement,592.694723,Appliances
2025-05-01,USMCA - U.S.-Mexico-Canada Agreement,589.378231,Appliances
2025-06-01,USMCA - U.S.-Mexico-Canada Agreement,648.224651,Appliances
2025-07-01,USMCA - U.S.-Mexico-Canada Agreement,652.890952,Appliances
2025-08-01,USMCA - U.S.-Mexico-Canada Agreement,593.941148,Appliances
2015-05-01,Canada,0.277557,Appliances
2017-06-01,Canada,0.052924,Appliances
2017-07-01,Canada,0.020545,Appliances
2017-08-01,Canada,0.004712,Appliances
2018-02-01,Canada,0.010874,Appliances
2019-01-01,Canada,0.002077,Appliances
2021-04-01,Canada,0.0052,Appliances
2021-11-01,Canada,0.00474,Appliances
2022-01-01,Canada,0.104373,Appliances
2022-10-01,Canada,0.002341,Appliances
2023-04-01,Canada,0.002233,Appliances
2023-07-01,Canada,0.023085,Appliances
2023-08-01,Canada,0.0039,Appliances
2023-10-01,Canada,0.0088,Appliances
2023-11-01,Canada,0.002603,Appliances
2023-12-01,Canada,0.00863,Appliances
2024-06-01,Canada,0.00216,Appliances
2024-07-01,Canada,0.00283,Appliances
2024-09-01,Canada,0.0076,Appliances
2024-10-01,Canada,0.057156,Appliances
2024-11-01,Canada,0.011361,Appliances
2025-01-01,Canada,0.060975,Appliances
2025-02-01,Canada,0.003,Appliances
2025-03-01,Canada,0.005725,Appliances
2025-08-01,Canada,0.00726,Appliances
2015-01-01,China,12.493826,Appliances
2015-02-01,China,15.367912,Appliances
2015-03-01,China,18.036101,Appliances
2015-04-01,China,15.056328,Appliances
2015-05-01,China,17.583447,Appliances
2015-06-01,China,19.640207,Appliances
2015-07-01,China,23.230167,Appliances
2015-08-01,China,21.177952,Appliances
2015-09-01,China,22.85899,Appliances
2015-10-01,China,21.4708,Appliances
2015-11-01,China,17.997823,Appliances
2015-12-01,China,15.190953,Appliances
2016-01-01,China,15.206069,Appliances
2016-02-01,China,21.262075,Appliances
2016-03-01,China,5.735034,Appliances
2016-04-01,China,11.387523,Appliances
2016-05-01,China,13.267242,Appliances
2016-06-01,China,16.756561,Appliances
2016-07-01,China,14.349783,Appliances
2016-08-01,China,17.676421,Appliances
