Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-22,"20,510,052"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-22,"27,915,762"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-22,"19,046,981"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-22,"25,638,790"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-22,"26,305,984"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-22,"34,310,955"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-22,"30,192,836"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-22,"27,455,871"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2023,"291,309,366"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-23,"22,834,379"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-23,"20,760,894"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-23,"21,287,307"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-23,"28,163,326"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-23,"24,990,360"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-23,"20,862,781"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-23,"27,121,842"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-23,"31,816,448"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-23,"23,971,062"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-23,"26,970,403"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-23,"21,731,367"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-23,"20,799,197"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2024,"301,721,067"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-24,"28,028,484"
