Standard Report - Imports,,,
Current date: 11/21/2025 7:43 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-25,"46,705,751"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-25,"68,184,599"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-25,"41,161,742"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-25,"39,225,180"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-25,"44,190,812"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-25,"46,807,214"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-25,"44,719,186"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,2015,"1,678,262,613"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jan-15,"101,996,430"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Feb-15,"84,442,991"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Mar-15,"123,996,016"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Apr-15,"144,354,317"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,May-15,"167,557,137"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jun-15,"183,701,304"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jul-15,"164,483,090"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Aug-15,"162,472,682"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Sep-15,"145,327,461"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Oct-15,"153,049,226"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Nov-15,"130,812,965"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Dec-15,"116,068,994"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,2016,"1,846,758,845"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jan-16,"122,640,222"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Feb-16,"122,689,538"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Mar-16,"119,652,040"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Apr-16,"151,371,593"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,May-16,"167,158,095"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jun-16,"189,203,482"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jul-16,"166,884,936"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Aug-16,"165,672,864"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Sep-16,"148,452,340"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Oct-16,"163,504,129"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Nov-16,"164,798,374"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Dec-16,"164,731,232"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,2017,"2,014,184,635"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jan-17,"139,782,972"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Feb-17,"142,086,247"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Mar-17,"123,890,607"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Apr-17,"149,384,353"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,May-17,"187,361,757"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jun-17,"205,901,539"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Jul-17,"188,701,707"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Aug-17,"172,089,537"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Sep-17,"179,079,754"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Oct-17,"184,247,513"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",China,Nov-17,"170,436,943"
